"PAYATTENTION",100,Glad you caught that. The next ones will not be so obvious.
"EARLYBIRD",300
"PROGRAMMINGISHARD",100,Sorry about that...
"GOODJOB",200
"MONKEYINGAROUND",200
"PLACESLONGFORGOTTEN",200
"CODEBREAKER",300
"OMEGAPIPHI",300
"LAMBDAMACHINE",100,ITS ALMOST TIME. JUST A LITTLE LONGER.
"CEWWEDCKLISASCED",200
"KNOWMYWAYAROUNDX",150
"HALFWAYTHERE",200
"QUITETHEWALK",250
"GETTINGPLACES",200
"ATTHEENDOFTIME",200
"FEELINGSTUDIOUS",300
"IHOPEYOURHAPPY",670, I'm going to be honest. I didn't think anyone would actually complete this challenge. Congratulations. You've completed the single hardest challenge of round one.